probabilities
1.1374080053009432e-08
0.002508991774647525
9.323703026615709e-07
4.4848252229787505e-08
4.0295349575709646e-08
4.9324884891033274e-08
3.684139648030383e-05
7.006375031473517e-08
1.3194360416904398e-08
3.909930368345825e-05
