,Column,Missing,Missing_p,Count,Type,Distinct,Most Popular,Mean,Std,Min,Max,Feat_type,Enrichment,Category,stage
87,location,56173,0.99,442,string,33,Lombardia_Italy,,,,,categorical,FALSE,contact,3
88,feat_init_currently_employed,51378,0.91,5237,boolean,2,TRUE,0.880084018,0.324894284,FALSE,TRUE,numerical,FALSE,contact,1
89,feat_final_currently_employed,51374,0.91,5241,boolean,2,TRUE,0.875787064,0.329855792,FALSE,TRUE,numerical,FALSE,contact,3
90,is_employed_boolean,0,0,56615,bool,2,FALSE,0.092501987,0.289735832,FALSE,TRUE,numerical,FALSE,contact,1
91,feat_init_company,52740,0.93,3875,string,2404,Accenture,,,,,categorical,FALSE,contact,1
92,feat_final_company,52676,0.93,3939,string,2452,Accenture,,,,,categorical,FALSE,contact,3
93,current_company_boolean,0,0,56615,bool,2,FALSE,0.068444758,0.252509801,FALSE,TRUE,numerical,FALSE,contact,1
94,feat_init_years_of_topic_experience,0,0,56615,int32,10,0,0.278618741,1.166523762,0,9,numerical,FALSE,contact,1
95,feat_final_years_of_topic_experience,0,0,56615,int32,10,0,0.265477347,1.135484711,0,9,numerical,FALSE,contact,3
96,years_of_experience_enrichment_boolean,0,0,56615,bool,2,FALSE,0.092448998,0.289661289,FALSE,TRUE,numerical,FALSE,contact,1
0,time_since_hs_email_last_open_date,52415,0.92,4822,float64,6,0,1.6219411032766486,1.8104423320628662,0,5,numerical,,,1
1,time_since_hs_email_last_click_date,53991,0.94,3246,float64,6,3,2.170671595810228,1.6392196211568348,0,5,numerical,,,1
2,time_since_hs_sales_email_last_replied,56377,0.98,860,float64,6,0,2.0906976744186045,1.6836284826967578,0,5,numerical,,,1
3,time_since_hs_sales_email_last_clicked,56508,0.99,729,float64,6,3,2.2482853223593966,1.6129883009924983,0,5,numerical,,,1
4,time_since_hs_sales_email_last_opened,56057,0.98,1180,float64,6,0,1.9101694915254237,1.6932931528616524,0,5,numerical,,,1
5,time_since_hs_social_last_engagement,57173,1,64,float64,6,1,1.84375,1.5452821183838328,0,5,numerical,,,1
6,time_since_hs_last_sales_activity_date,54358,0.95,2879,float64,1,1,1,0,1,1,numerical,,,1
7,average_recency_score,0,0,57237,float64,25,0,0.4115344969163304,1.7767223604619906,0,24,numerical,,,1
