Model,Accuracy,Precision,Recall,F1-score,ROC AUC Score,Accuracy Diff (%),Precision Diff (%),Recall Diff (%),F1-score Diff (%),ROC AUC Score Diff (%)
SMOTE_extra,0.958333333,0.411439114,0.585301837,0.483206934,0.783385948,-0.885355497,-18.0453262,-9.71659919,-14.60735763,-6.329365555
SMOTETomek_extra,0.95754717,0.405745063,0.593175853,0.481876333,0.785391152,-0.850217077,-17.06570916,-9.6,-14.03326226,-6.460760878
BorderlineSMOTE_extra,0.963050314,0.449760766,0.49343832,0.470588235,0.769338486,-0.388507409,-10.27385732,-5.527638191,-8.010641443,-2.627868336
NeighbourhoodCleaningRule_extra,0.963749126,0.457711443,0.482939633,0.469987229,0.778280324,-0.199004975,-5.778424948,-10.24390244,-7.951281812,-4.90528968
NeighbourhoodCleaningRule_gbm,0.971086653,0.617924528,0.343832021,0.441821248,0.946037106,0.560832203,27.20202485,-36.09756098,-13.46769218,15.59218672
AllKNN_extra,0.963312369,0.447154472,0.433070866,0.44,0.76649859,-0.424379233,-12.38496141,-16.24365482,-14.34517766,-6.321055315
Sampling 10:1_ada,0.965059399,0.469255663,0.380577428,0.420289855,0.938857856,0.254083485,2.333831217,-44.23076923,-23.37792642,10.7539679
BorderlineSMOTE_gbm,0.935010482,0.294450736,0.682414698,0.411392405,0.926730814,-3.28876039,-41.25781797,30.65326633,-19.58208765,17.29265656
AllKNN_gbm,0.971348707,0.653179191,0.296587927,0.407942238,0.945550568,0.406320542,27.98333382,-42.63959391,-20.58586377,15.56209042
SMOTE_gbm,0.919723969,0.269691781,0.826771654,0.406714009,0.938012374,-4.878489475,-46.28001775,27.53036437,-28.12523686,12.15954845
SMOTENC_gbm,0.917714885,0.266832918,0.842519685,0.40530303,0.941252244,-4.880036215,-44.29464188,27.88844622,-26.93242183,13.38157631
SMOTETomek_gbm,0.917976939,0.265546218,0.829396325,0.402291534,0.938013085,-4.947539797,-45.72235294,26.4,-28.23119032,11.71634668
SMOTE_ada,0.924266247,0.270321361,0.750656168,0.397498263,0.921256759,-4.408709007,-46.15461148,15.78947368,-29.75384953,10.15605449
OneSidedSelection_gbm,0.972309574,0.722222222,0.272965879,0.396190476,0.946834682,0.143949618,26.29435718,-45.54973822,-25.84392919,16.13024458
SMOTETomek_ada,0.921296296,0.263205829,0.758530184,0.390804598,0.915662938,-4.603835022,-46.2007286,15.6,-30.28045977,9.054468236
ADASYN_gbm,0.917540182,0.255430061,0.771653543,0.38381201,0.940063825,-4.811961939,-45.52238537,21.99170124,-28.73200221,14.49584896
BorderlineSMOTE_ada,0.932826695,0.275981524,0.627296588,0.383319968,0.905222236,-3.514636791,-44.94237933,20.10050251,-25.06961431,14.57040084
ADASYN_ada,0.918326345,0.24587156,0.703412073,0.364377974,0.911917082,-4.730403262,-47.56100346,11.2033195,-32.34060438,11.06769323
SMOTENC_ada,0.908106219,0.233518666,0.771653543,0.358536585,0.917564977,-5.875961974,-51.24948973,17.1314741,-35.36342435,10.52825015
AllKNN_ada,0.967679944,0.52972973,0.257217848,0.346289753,0.940510401,0.027088036,3.794759226,-50.25380711,-32.58775627,14.94609774
NeighbourhoodCleaningRule_ada,0.967330538,0.518716578,0.254593176,0.341549296,0.938121468,0.171867933,6.77970523,-52.68292683,-33.10632085,14.62500915
OneSidedSelection_ada,0.967330538,0.522875817,0.209973753,0.299625468,0.939348189,-0.368870895,-8.565171269,-58.11518325,-43.9182697,15.21201853
