,Column,Missing,Missing_p,Count,Type,Distinct,Most Popular,Mean,Std,Min,Max,Feat_type,T-stat,P-value,significance,Chi-square,D.Freedom,stage,class,In use
43,is_referred,0,0,57237,boolean,2,FALSE,0.001065744,0.032628622,FALSE,TRUE,numerical,,,,,,3,contact,TRUE
33,tuition_fee_amount,0,0,57237,float64,59,2900,2988.838473,2086.805619,0,10500,numerical,8.545245341,1.31E-17,No,,,1,class,TRUE
39,amount,0,0,57237,float64,275,0.0232,0.023995072,0.018657772,0,1,numerical,5.948651038,2.72E-09,No,,,1,class,TRUE
41,motivation,0,0,57237,Float64,10,0,0.201381973,0.855261254,0,5,numerical,-49.66317322,0,No,,,2,contact,TRUE
53,n_calls,0,0,57237,float64,18,0,0.328948058,1.017738456,0,18,numerical,-6.906965444,5.00E-12,No,,,2,interaction ,TRUE
54,n_calls_positive_outcome,0,0,57237,float64,11,0,0.111745899,0.480511113,0,11,numerical,-9.610362123,7.51E-22,No,,,2,interaction ,TRUE
55,n_calls_negative_outcome,0,0,57237,float64,16,0,0.217202159,0.776378126,0,17,numerical,-3.107500847,0.001887688,No,,,2,interaction ,TRUE
56,n_inbound_calls,0,0,57237,float64,12,0,0.026888202,0.239738712,0,11,numerical,-4.864873839,1.15E-06,No,,,2,interaction ,TRUE
57,n_outbound_calls,0,0,57237,float64,16,0,0.302059856,0.920172199,0,17,numerical,-6.371173647,1.89E-10,No,,,2,interaction ,TRUE
86,intake_Fall,0,0,57237,float64,2,0,0.352778797,0.477838787,0,1,numerical,-3.204513109,0.001353653,No,,,1,class,TRUE
87,intake_Spring,0,0,57237,float64,2,0,0.313084194,0.463752346,0,1,numerical,-1.977940112,0.047940251,No,,,1,class,TRUE
88,intake_Summer,0,0,57237,float64,2,0,0.00401838,0.063263752,0,1,numerical,-0.425567073,0.670424938,Yes,,,1,class,TRUE
89,intake_Winter,0,0,57237,float64,2,0,0.33011863,0.470259698,0,1,numerical,5.264896369,1.41E-07,No,,,1,class,TRUE
90,source_of_awareness_onboarding_event,0,0,57237,float64,2,0,0.000174712,0.013216834,0,1,numerical,-4.638367709,3.52E-06,No,,,3,interaction ,TRUE
91,source_of_awareness_onboarding_facebook,0,0,57237,float64,2,0,5.24E-05,0.007239601,0,1,numerical,-6.043633569,1.52E-09,No,,,3,interaction ,TRUE
92,source_of_awareness_onboarding_google,0,0,57237,float64,2,0,0.000384367,0.019601677,0,1,numerical,-10.88809512,1.40E-27,No,,,3,interaction ,TRUE
93,source_of_awareness_onboarding_instagram,0,0,57237,float64,2,0,0.000594021,0.024365526,0,1,numerical,-19.78161323,8.37E-87,No,,,3,interaction ,TRUE
94,source_of_awareness_onboarding_linkedin,0,0,57237,float64,2,0,0.000524136,0.022888227,0,1,numerical,-11.06640625,1.95E-28,No,,,3,interaction ,TRUE
95,source_of_awareness_onboarding_others,0,0,57237,float64,2,0,0.00071632,0.026754799,0,1,numerical,-16.92928208,3.92E-64,No,,,3,interaction ,TRUE
96,source_of_awareness_onboarding_unknown,0,0,57237,float64,2,1,0.995789437,0.064752664,0,1,numerical,38.86926277,0,No,,,3,interaction ,TRUE
97,source_of_awareness_onboarding_word_of_mouth,0,0,57237,float64,2,0,0.001764593,0.041970345,0,1,numerical,-23.48350249,2.26E-121,No,,,3,interaction ,TRUE
98,current_position_job_type__NA>,0,0,57237,float64,2,1,0.906651292,0.290923023,0,1,numerical,3.332585978,0.000860974,No,,,1,contact,TRUE
99,current_position_job_type_False,0,0,57237,float64,2,0,0.079686217,0.270809167,0,1,numerical,-2.101431579,0.035607458,No,,,1,contact,TRUE
100,current_position_job_type_True,0,0,57237,float64,2,0,0.013662491,0.116086445,0,1,numerical,-3.449227512,0.000562597,No,,,1,contact,TRUE
101,previous_position_job_type__NA>,0,0,57237,float64,2,1,0.902580499,0.296530738,0,1,numerical,2.808239404,0.004983004,No,,,1,contact,TRUE
102,previous_position_job_type_False,0,0,57237,float64,2,0,0.091112392,0.287771387,0,1,numerical,-2.516649835,0.011850362,No,,,1,contact,TRUE
103,previous_position_job_type_True,0,0,57237,float64,2,0,0.006307109,0.079167158,0,1,numerical,-1.37044167,0.170554447,Yes,,,1,contact,TRUE
104,delivery_format_blended,0,0,57237,float64,2,1,0.694707969,0.460535028,0,1,numerical,11.7236001,1.05E-31,No,,,1,class,TRUE
105,delivery_format_offline,0,0,57237,float64,2,0,0.003267117,0.057065754,0,1,numerical,-8.337787251,7.74E-17,No,,,1,class,TRUE
106,delivery_format_online,0,0,57237,float64,2,0,0.302024914,0.45914001,0,1,numerical,-10.7202119,8.68E-27,No,,,1,class,TRUE
107,type_Full Time,0,0,57237,float64,2,0,0.271327987,0.444648811,0,1,numerical,9.431283859,4.20E-21,No,,,1,class,TRUE
108,type_Masterclass,0,0,57237,float64,2,0,0.145412932,0.352519762,0,1,numerical,-16.7508151,7.89E-63,No,,,1,class,TRUE
109,type_Part Time,0,0,57237,float64,2,1,0.583259081,0.493023501,0,1,numerical,3.44891137,0.000563256,No,,,1,class,TRUE
110,current_company_location__NA>,0,0,57237,float64,2,1,0.944319234,0.229306208,0,1,numerical,3.66675352,0.000245872,No,,,1,contact,TRUE
111,current_company_location_germany,0,0,57237,float64,2,0,0.001030802,0.03208983,0,1,numerical,-0.711716676,0.47664314,Yes,,,1,contact,TRUE
112,current_company_location_italy,0,0,57237,float64,2,0,0.049792966,0.217518857,0,1,numerical,-3.915887618,9.02E-05,No,,,1,contact,TRUE
